,0
186,"[[-0.60299999  1.25100005 -0.21799999]
 [ 0.096       0.69099998  0.131     ]
 [ 0.83999997  1.03199995 -1.102     ]
 ..., 
 [ 0.096       2.68600011 -0.096     ]
 [-0.41100001  2.34500003 -0.39300001]
 [-0.84799999  2.34500003 -0.122     ]]"
187,"[[-0.052       0.92699999 -0.74299997]
 [-0.105       1.00600004 -0.778     ]
 [-0.148       0.98000002 -0.73500001]
 ..., 
 [-0.33199999  1.55700004 -0.113     ]
 [ 0.          1.59200001 -0.21799999]
 [ 0.236       1.70599997 -0.148     ]]"
188,"[[ 0.054337   -0.32601899 -0.95994598]
 [ 0.072449   -0.32601899 -0.97805798]
 [ 0.072449   -0.32601899 -0.97805798]
 ..., 
 [-0.036224   -1.01428199 -0.28979501]
 [-0.054337   -1.01428199 -0.253571  ]
 [-0.036224   -1.01428199 -0.235458  ]]"
189,"[[-0.77882397 -0.94183302  0.28979501]
 [-0.79693598 -1.10484302  0.217346  ]
 [-0.79693598 -1.17729199  0.235458  ]
 ..., 
 [ 0.34413099 -1.97422802 -0.036224  ]
 [-0.018112   -1.57576001 -1.39463794]
 [ 0.235458   -1.08673096 -0.59770203]]"
190,"[[ 0.16301    -0.56147802 -0.235458  ]
 [ 0.144897   -0.543365   -0.126785  ]
 [ 0.090561   -0.543365   -0.054337  ]
 ..., 
 [ 1.88366699 -0.126785   -0.95994598]
 [ 0.27168301  0.108673   -0.434692  ]
 [ 0.126785    0.108673    0.018112  ]]"
191,"[[-0.706375   -0.38035601 -0.65203899]
 [-0.65203899 -0.39846799 -0.61581397]
 [-0.670151   -0.39846799 -0.543365  ]
 ..., 
 [ 0.65203899 -0.50714099 -0.65203899]
 [ 0.670151   -0.50714099 -0.65203899]
 [ 0.670151   -0.50714099 -0.706375  ]]"
192,"[[-0.525253   -0.74259901 -0.56147802]
 [-0.56147802 -0.74259901 -0.59770203]
 [-0.543365   -0.72448701 -0.59770203]
 ..., 
 [ 0.         -0.45280501 -1.10484302]
 [ 0.         -0.45280501 -1.05050695]
 [ 0.         -0.48902899 -1.01428199]]"
193,"[[-0.39846799 -2.01045203 -0.32601899]
 [-0.16301    -2.26402307  0.16301   ]
 [-0.018112   -2.082901    0.63392597]
 ..., 
 [-0.48902899 -1.84744298 -0.45280501]
 [-0.72448701 -0.94183302 -0.56147802]
 [-0.61581397 -0.181122   -0.74259901]]"
194,"[[-0.670151   -0.77882397 -0.181122  ]
 [-0.670151   -0.79693598 -0.181122  ]
 [-0.670151   -0.79693598 -0.19923399]
 ..., 
 [ 0.45280501 -0.525253   -0.92372102]
 [ 0.39846799 -0.525253   -0.94183302]
 [ 0.39846799 -0.45280501 -0.94183302]]"
195,"[[-0.054337   -1.66632104  0.144897  ]
 [-0.181122   -2.30024695 -0.036224  ]
 [-0.45280501 -2.30024695 -0.36224401]
 ..., 
 [-0.56147802  0.63392597  0.28979501]
 [-0.47091699  0.72448701  0.32601899]
 [-0.32601899  0.72448701  0.41657999]]"
196,"[[ 0.41657999  0.83315998  0.072449  ]
 [ 0.434692    0.83315998  0.036224  ]
 [ 0.39846799  0.851273    0.054337  ]
 ..., 
 [ 0.38035601  0.83315998  0.126785  ]
 [ 0.34413099  0.851273    0.108673  ]
 [ 0.32601899  0.851273    0.090561  ]]"
197,"[[ 0.017       1.48699999 -0.008     ]
 [ 0.052       1.53999996  0.        ]
 [ 0.131       1.56599998  0.017     ]
 ..., 
 [-0.052       1.08500004 -0.087     ]
 [-0.052       1.11099994 -0.096     ]
 [-0.052       1.15499997 -0.105     ]]"
198,"[[ 0.245       0.192       0.061     ]
 [ 0.29699999  0.087       0.21799999]
 [ 0.29699999  0.017       0.30599999]
 ..., 
 [ 1.25100005  1.68799996  0.131     ]
 [ 1.07599998  1.73199999 -0.087     ]
 [ 0.64700001  2.41499996 -0.07      ]]"
199,"[[-0.090561   -2.3183589   0.018112  ]
 [ 0.851273   -1.82932997  0.65203899]
 [ 0.72448701 -2.3183589   0.235458  ]
 ..., 
 [ 0.072449    0.018112   -0.054337  ]
 [-0.036224    0.036224   -0.072449  ]
 [-0.090561    0.036224   -0.16301   ]]"
200,"[[-0.32601899 -0.28979501 -0.95994598]
 [-0.32601899 -0.688263   -1.08673096]
 [-0.235458   -1.05050695 -1.30407703]
 ..., 
 [-0.48902899 -0.81504798  0.30790699]
 [-0.50714099 -0.76071203  0.235458  ]
 [-0.543365   -0.74259901  0.19923399]]"
201,"[[ 0.32601899 -0.72448701  0.48902899]
 [ 0.48902899 -0.79693598  0.72448701]
 [ 0.48902899 -0.869385    0.670151  ]
 ..., 
 [ 2.30024695 -2.3183589  -2.11912489]
 [ 1.213516   -2.3183589  -1.66632104]
 [-0.235458   -1.95611596  0.28979501]]"
202,"[[ 0.787       1.426       0.227     ]
 [ 0.62099999  1.39100003  0.017     ]
 [ 0.36700001  1.07599998  0.078     ]
 ..., 
 [ 0.875       2.2750001  -0.35800001]
 [ 0.56        2.17000008 -0.183     ]
 [ 0.20999999  2.12599993 -0.14      ]]"
203,"[[-0.47091699 -1.64820898  0.434692  ]
 [-0.76071203 -2.30024695  0.56147802]
 [-0.88749701 -2.30024695  0.45280501]
 ..., 
 [-1.30407703 -0.47091699 -0.39846799]
 [-0.90560901 -0.38035601  0.036224  ]
 [-0.217346   -0.36224401  0.74259901]]"
204,"[[-0.65203899 -2.3183589  -1.81121802]
 [ 0.         -2.3183589  -1.12295496]
 [-0.018112   -2.24591088 -0.253571  ]
 ..., 
 [-0.50714099 -0.706375   -1.64820898]
 [-0.45280501 -0.706375   -1.17729199]
 [-0.434692   -0.543365   -0.88749701]]"
205,"[[-0.253571   -1.15918005 -0.036224  ]
 [-0.28979501 -1.23162794 -0.144897  ]
 [-0.27168301 -1.26785302 -0.235458  ]
 ..., 
 [-0.235458   -0.869385   -0.036224  ]
 [-0.181122   -0.76071203 -0.16301   ]
 [-0.144897   -0.74259901 -0.19923399]]"
206,"[[ 0.15700001  1.00600004 -0.087     ]
 [ 0.15700001  1.00600004 -0.087     ]
 [ 0.15700001  1.00600004 -0.087     ]
 ..., 
 [ 0.131       1.01499999 -0.087     ]
 [ 0.131       1.00600004 -0.087     ]
 [ 0.131       1.00600004 -0.087     ]]"
207,"[[ 0.217346   -1.01428199 -0.036224  ]
 [ 0.217346   -1.01428199 -0.018112  ]
 [ 0.217346   -1.01428199 -0.036224  ]
 ..., 
 [ 0.27168301 -0.99616998 -0.090561  ]
 [ 0.28979501 -0.99616998 -0.090561  ]
 [ 0.27168301 -1.01428199 -0.108673  ]]"
208,"[[ 0.30599999  0.866       0.131     ]
 [ 0.30599999  0.76099998  0.122     ]
 [ 0.32300001  0.68199998  0.105     ]
 ..., 
 [ 0.34999999  0.72600001  0.122     ]
 [ 0.34099999  0.68199998  0.122     ]
 [ 0.34099999  0.65600002  0.105     ]]"
209,"[[-0.217346   -0.32601899 -0.018112  ]
 [-0.19923399 -0.235458    0.036224  ]
 [-0.181122   -0.19923399  0.036224  ]
 ..., 
 [-0.126785   -0.108673    0.018112  ]
 [-0.108673   -0.144897    0.090561  ]
 [-0.072449   -0.16301     0.144897  ]]"
210,"[[ 1.03239405 -1.30407703 -0.65203899]
 [ 1.14106798 -0.88749701 -0.88749701]
 [ 0.81504798 -0.47091699 -0.34413099]
 ..., 
 [ 0.126785   -0.79693598  0.126785  ]
 [ 0.16301    -0.88749701  0.16301   ]
 [ 0.036224   -0.92372102  0.19923399]]"
211,"[[ 0.          0.38499999  0.07      ]
 [-0.035       0.53299999  0.043     ]
 [-0.035       0.51599997  0.026     ]
 ..., 
 [ 0.017       0.008       0.105     ]
 [ 0.008       0.026       0.131     ]
 [ 0.043       0.07        0.105     ]]"
212,"[[-0.39846799 -0.92372102 -0.16301   ]
 [-0.39846799 -0.92372102 -0.16301   ]
 [-0.38035601 -0.92372102 -0.181122  ]
 ..., 
 [-0.39846799 -0.92372102 -0.181122  ]
 [-0.38035601 -0.92372102 -0.181122  ]
 [-0.38035601 -0.92372102 -0.19923399]]"
213,"[[ 0.90560901 -1.44897497  0.34413099]
 [ 0.76071203 -1.24974096  0.30790699]
 [ 0.65203899 -1.03239405  0.27168301]
 ..., 
 [ 0.018112   -1.66632104  0.525253  ]
 [-0.072449   -1.48519897  0.543365  ]
 [-0.144897   -1.28596497  0.50714099]]"
214,"[[-0.126785   -1.01428199 -0.32601899]
 [-0.144897   -1.08673096 -0.253571  ]
 [-0.19923399 -1.08673096 -0.235458  ]
 ..., 
 [ 0.181122   -1.08673096 -0.126785  ]
 [ 0.018112   -0.81504798 -0.434692  ]
 [-0.018112   -0.688263   -0.525253  ]]"
215,"[[ 0.50714099 -0.869385    0.19923399]
 [ 0.50714099 -0.869385    0.19923399]
 [ 0.50714099 -0.869385    0.217346  ]
 ..., 
 [ 0.50714099 -0.851273    0.27168301]
 [ 0.48902899 -0.869385    0.27168301]
 [ 0.48902899 -0.851273    0.28979501]]"
216,"[[-0.19923399 -1.93800402 -0.090561  ]
 [-0.253571   -2.3183589  -0.19923399]
 [-0.47091699 -2.3183589  -0.181122  ]
 ..., 
 [-1.08673096 -1.05050695 -0.79693598]
 [-0.81504798 -0.869385   -0.688263  ]
 [-0.38035601 -0.83315998 -0.50714099]]"
217,"[[-0.39300001  2.2750001  -0.28799999]
 [-0.38499999  1.39100003 -0.15700001]
 [-0.245       0.65600002 -0.148     ]
 ..., 
 [ 0.26199999  0.131       0.428     ]
 [ 0.36700001  0.16599999  0.51599997]
 [ 0.21799999  0.41999999  0.85699999]]"
218,"[[-0.38035601 -0.81504798 -0.525253  ]
 [-0.36224401 -0.61581397 -0.56147802]
 [-0.32601899 -0.59770203 -0.61581397]
 ..., 
 [-0.28979501 -0.851273    0.072449  ]
 [-0.253571   -0.869385    0.018112  ]
 [-0.235458   -0.92372102  0.018112  ]]"
219,"[[-0.869385   -2.3183589   1.48519897]
 [-1.68443298 -2.3183589  -2.30024695]
 [ 0.018112   -2.3183589   0.19923399]
 ..., 
 [-0.77882397 -0.217346   -0.32601899]
 [-0.76071203 -0.19923399 -0.28979501]
 [-0.61581397 -0.16301    -0.217346  ]]"
220,"[[-1.80200005  1.23300004 -1.13699996]
 [-1.21599996  0.98799998 -1.16299999]
 [-0.71700001  0.89200002 -0.93599999]
 ..., 
 [ 0.41999999  0.131       0.34099999]
 [ 0.41999999  0.07        0.36700001]
 [ 0.40200001  0.043       0.30599999]]"
221,"[[ 0.192       0.131       0.463     ]
 [ 0.63800001  0.30599999  0.84799999]
 [ 0.58600003  0.58600003 -0.32300001]
 ..., 
 [ 0.20999999  1.63600004 -0.33199999]
 [ 0.37599999  1.47800004 -0.25299999]
 [ 0.48100001  1.61000001 -0.113     ]]"
222,"[[-0.27168301 -1.19540405 -0.054337  ]
 [-0.253571   -1.15918005 -0.054337  ]
 [-0.27168301 -1.12295496 -0.036224  ]
 ..., 
 [ 0.054337   -1.213516   -0.090561  ]
 [ 0.181122   -1.15918005 -0.090561  ]
 [ 0.19923399 -1.08673096 -0.126785  ]]"
223,"[[ 0.34999999  0.30599999  0.236     ]
 [ 0.25299999  0.043       0.148     ]
 [ 0.008      -0.28799999 -0.035     ]
 ..., 
 [ 0.236       0.82200003  0.48100001]
 [ 0.271       0.68199998  0.32300001]
 [ 0.236       0.40200001  0.271     ]]"
224,"[[ 0.018112   -0.79693598 -0.018112  ]
 [ 0.018112   -0.61581397 -0.16301   ]
 [ 0.054337   -0.47091699 -0.30790699]
 ..., 
 [ 0.30790699 -0.59770203  0.38035601]
 [ 0.253571   -0.56147802  0.434692  ]
 [ 0.181122   -0.63392597  0.39846799]]"
225,"[[-0.40200001  0.82200003 -0.078     ]
 [-0.39300001  0.97100002 -0.078     ]
 [-0.37599999  0.98799998 -0.026     ]
 ..., 
 [-0.64700001  1.03199995 -0.472     ]
 [-0.58600003  0.82200003 -0.472     ]
 [-0.43700001  0.91799998 -0.58600003]]"
226,"[[ 0.108673   -1.03239405 -0.108673  ]
 [ 0.108673   -1.03239405 -0.108673  ]
 [ 0.108673   -1.03239405 -0.090561  ]
 ..., 
 [ 0.054337   -1.17729199 -0.235458  ]
 [ 0.126785   -1.03239405 -0.235458  ]
 [ 0.126785   -0.97805798 -0.181122  ]]"
227,"[[ 0.07        0.89200002 -0.36700001]
 [ 0.078       0.89200002 -0.37599999]
 [ 0.087       0.866      -0.38499999]
 ..., 
 [ 0.017       0.67299998 -0.052     ]
 [ 0.07        0.68199998 -0.017     ]
 [ 0.122       0.76099998  0.        ]]"
228,"[[ 0.108673   -0.97805798  0.16301   ]
 [ 0.126785   -0.97805798  0.16301   ]
 [ 0.126785   -0.97805798  0.16301   ]
 ..., 
 [ 0.126785   -1.01428199  0.126785  ]
 [ 0.126785   -0.99616998  0.144897  ]
 [ 0.126785   -0.97805798  0.144897  ]]"
229,"[[ 0.090561   -0.543365    0.36224401]
 [ 0.054337   -0.543365    0.28979501]
 [ 0.144897   -0.525253    0.217346  ]
 ..., 
 [-0.108673   -1.23162794 -0.181122  ]
 [-0.181122   -1.23162794 -0.28979501]
 [-0.181122   -1.28596497 -0.072449  ]]"
230,"[[-0.090561   -0.97805798  0.072449  ]
 [-0.108673   -0.97805798  0.072449  ]
 [-0.108673   -0.97805798  0.090561  ]
 ..., 
 [-0.126785   -0.97805798  0.108673  ]
 [-0.144897   -0.95994598  0.108673  ]
 [-0.144897   -0.95994598  0.090561  ]]"
231,"[[-0.090561   -0.434692   -0.253571  ]
 [-0.054337   -0.434692   -0.253571  ]
 [ 0.018112   -0.434692   -0.235458  ]
 ..., 
 [-0.108673   -0.72448701  0.036224  ]
 [-0.126785   -0.688263    0.        ]
 [-0.126785   -0.688263   -0.018112  ]]"
232,"[[ 2.13723803 -2.3183589   0.74259901]
 [ 2.15534997 -2.3183589   1.10484302]
 [ 1.59387195 -2.3183589   0.670151  ]
 ..., 
 [-1.12295496 -0.706375    0.525253  ]
 [-1.08673096 -0.56147802 -0.108673  ]
 [-0.94183302 -0.253571   -0.34413099]]"
233,"[[ 0.38035601 -0.88749701 -0.27168301]
 [ 0.36224401 -0.90560901 -0.28979501]
 [ 0.36224401 -0.90560901 -0.27168301]
 ..., 
 [ 0.38035601 -0.90560901 -0.27168301]
 [ 0.38035601 -0.90560901 -0.27168301]
 [ 0.38035601 -0.90560901 -0.27168301]]"
234,"[[-0.018112   -2.3183589   0.706375  ]
 [-0.56147802 -2.10101295 -0.16301   ]
 [-0.65203899 -2.11912489 -0.19923399]
 ..., 
 [ 0.235458   -0.434692   -0.181122  ]
 [ 0.34413099 -0.543365   -0.30790699]
 [ 0.45280501 -0.59770203 -0.36224401]]"
235,"[[-0.175       1.76699996 -0.40200001]
 [-0.15700001  1.48699999 -0.41100001]
 [-0.14        1.347      -0.49000001]
 ..., 
 [-0.043      -0.30599999  0.07      ]
 [-0.14       -0.39300001  0.096     ]
 [ 0.061      -0.30599999  0.096     ]]"
236,"[[ 0.28799999  1.52199996 -0.21799999]
 [ 0.44600001  1.48699999 -0.30599999]
 [ 0.472       1.41700006 -0.63      ]
 ..., 
 [-0.008       0.83999997 -0.44600001]
 [ 0.008       0.875      -0.472     ]
 [ 0.07        0.88300002 -0.39300001]]"
237,"[[ 0.65203899 -0.59770203 -0.47091699]
 [ 0.706375   -0.688263   -0.543365  ]
 [ 0.670151   -0.670151   -0.525253  ]
 ..., 
 [ 0.16301    -0.39846799 -1.10484302]
 [ 0.108673   -0.39846799 -1.01428199]
 [ 0.054337   -0.36224401 -0.99616998]]"
238,"[[-0.036224   -1.06861901 -0.217346  ]
 [ 0.018112   -1.06861901 -0.16301   ]
 [ 0.         -1.06861901 -0.16301   ]
 ..., 
 [-0.108673   -1.08673096 -0.108673  ]
 [-0.108673   -1.06861901 -0.090561  ]
 [-0.108673   -1.06861901 -0.108673  ]]"
239,"[[-0.56147802 -0.77882397  0.36224401]
 [-0.56147802 -0.72448701  0.235458  ]
 [-0.61581397 -0.65203899  0.108673  ]
 ..., 
 [ 0.054337   -0.543365    0.072449  ]
 [ 0.108673   -0.56147802  0.036224  ]
 [ 0.144897   -0.57959002  0.036224  ]]"
240,"[[-0.27168301  1.01428199 -0.018112  ]
 [-0.28979501  1.03239405  0.018112  ]
 [-0.28979501  1.01428199 -0.018112  ]
 ..., 
 [-0.28979501  1.03239405  0.036224  ]
 [-0.27168301  1.03239405  0.036224  ]
 [-0.28979501  1.03239405  0.036224  ]]"
241,"[[-0.81504798 -1.15918005 -0.235458  ]
 [-1.08673096 -1.34030199 -0.235458  ]
 [-1.32218897 -1.34030199 -0.235458  ]
 ..., 
 [-0.670151   -0.77882397  0.126785  ]
 [-0.48902899 -0.61581397  0.090561  ]
 [-0.36224401 -0.543365    0.126785  ]]"
242,"[[ 0.090561    1.17729199  0.28979501]
 [ 0.126785    1.10484302  0.28979501]
 [ 0.217346    0.97805798  0.30790699]
 ..., 
 [ 0.181122    0.706375    0.50714099]
 [ 0.217346    0.95994598  0.65203899]
 [ 0.32601899  1.08673096  0.74259901]]"
243,"[[ 0.126785   -0.036224    0.054337  ]
 [ 0.090561    0.090561    0.054337  ]
 [ 0.144897    0.38035601  0.054337  ]
 ..., 
 [ 0.144897    0.97805798  0.50714099]
 [ 0.16301     1.03239405  0.543365  ]
 [ 0.253571    1.06861901  0.50714099]]"
244,"[[-0.235458   -0.83315998 -0.144897  ]
 [-0.126785   -0.79693598 -0.090561  ]
 [ 0.036224   -0.83315998 -0.018112  ]
 ..., 
 [-0.32601899 -0.63392597 -0.018112  ]
 [-0.32601899 -0.59770203  0.018112  ]
 [-0.30790699 -0.525253    0.054337  ]]"
245,"[[ 0.018112   -0.63392597  0.77882397]
 [-0.56147802 -0.434692    0.525253  ]
 [-0.706375   -0.253571    0.39846799]
 ..., 
 [ 0.036224   -1.77499402  0.126785  ]
 [ 0.19923399 -1.539536    0.16301   ]
 [ 0.235458   -1.30407703  0.41657999]]"
246,"[[-0.463       0.866      -0.25299999]
 [-0.463       0.875      -0.25299999]
 [-0.472       0.89200002 -0.25299999]
 ..., 
 [-0.463       0.83999997 -0.28799999]
 [-0.45500001  0.83999997 -0.29699999]
 [-0.463       0.85699999 -0.29699999]]"
247,"[[-0.036224   -1.10484302  0.34413099]
 [-0.072449   -1.15918005  0.34413099]
 [-0.108673   -1.24974096  0.39846799]
 ..., 
 [ 0.28979501 -0.77882397  0.34413099]
 [ 0.27168301 -0.83315998  0.38035601]
 [ 0.235458   -0.83315998  0.39846799]]"
248,"[[ 0.57959002 -0.28979501  0.88749701]
 [ 0.47091699 -0.126785    0.670151  ]
 [ 0.36224401  0.054337    0.48902899]
 ..., 
 [-0.76071203 -0.72448701 -0.181122  ]
 [-0.706375   -0.48902899  0.39846799]
 [-0.688263   -0.19923399  0.688263  ]]"
249,"[[ 0.34999999  0.93599999  0.131     ]
 [ 0.35800001  0.94499999  0.122     ]
 [ 0.36700001  0.95300001  0.131     ]
 ..., 
 [ 0.34099999  0.93599999  0.14      ]
 [ 0.34099999  0.94499999  0.14      ]
 [ 0.34099999  0.93599999  0.148     ]]"
250,"[[-0.054337   -1.08673096  0.        ]
 [-0.036224   -1.08673096  0.054337  ]
 [-0.036224   -1.08673096  0.018112  ]
 ..., 
 [-0.036224   -1.05050695  0.036224  ]
 [-0.036224   -1.08673096  0.018112  ]
 [-0.054337   -1.08673096  0.018112  ]]"
251,"[[-0.108673   -0.32601899 -0.97805798]
 [-0.090561   -0.32601899 -0.95994598]
 [-0.036224   -0.34413099 -0.95994598]
 ..., 
 [-0.27168301 -0.97805798 -0.235458  ]
 [-0.253571   -0.95994598 -0.217346  ]
 [-0.28979501 -0.99616998 -0.235458  ]]"
252,"[[-0.108673   -1.68443298 -0.706375  ]
 [-0.072449   -1.32218897 -0.48902899]
 [-0.036224   -1.03239405 -0.30790699]
 ..., 
 [ 0.235458   -1.84744298  0.36224401]
 [ 0.16301    -1.77499402  0.090561  ]
 [ 0.054337   -1.61198401 -0.072449  ]]"
253,"[[ 0.090561   -0.72448701 -0.235458  ]
 [ 0.072449   -0.72448701 -0.27168301]
 [ 0.036224   -0.76071203 -0.27168301]
 ..., 
 [ 0.57959002 -1.73877001  0.16301   ]
 [ 0.34413099 -1.84744298  0.47091699]
 [ 0.19923399 -1.82932997  0.181122  ]]"
254,"[[ 0.054337   -1.43086195  2.3183589 ]
 [ 0.869385   -2.3183589   2.3183589 ]
 [ 2.04667711 -2.3183589  -0.072449  ]
 ..., 
 [ 0.36224401 -2.3183589   0.34413099]
 [ 0.28979501 -2.3183589  -0.19923399]
 [ 0.108673   -2.3183589  -0.57959002]]"
255,"[[ 0.090561   -0.97805798  0.181122  ]
 [ 0.054337   -0.99616998  0.16301   ]
 [ 0.036224   -0.97805798  0.16301   ]
 ..., 
 [ 0.018112   -0.95994598  0.253571  ]
 [ 0.018112   -0.97805798  0.235458  ]
 [ 0.018112   -0.95994598  0.253571  ]]"
256,"[[-0.236       1.01499999 -0.20999999]
 [-0.21799999  1.00600004 -0.245     ]
 [-0.192       1.00600004 -0.26199999]
 ..., 
 [-0.227       0.68199998 -0.017     ]
 [-0.28799999  0.65600002 -0.026     ]
 [-0.28799999  0.61199999 -0.026     ]]"
257,"[[ 0.217346   -1.30407703  0.144897  ]
 [ 0.235458   -1.24974096  0.217346  ]
 [ 0.217346   -1.12295496  0.217346  ]
 ..., 
 [-0.16301    -0.61581397 -0.090561  ]
 [-0.181122   -0.59770203 -0.144897  ]
 [-0.181122   -0.56147802 -0.19923399]]"
258,"[[-0.74259901 -1.06861901 -0.77882397]
 [-0.50714099 -1.44897497 -0.018112  ]
 [-0.41657999 -1.79310596  0.235458  ]
 ..., 
 [-0.235458   -0.79693598  0.090561  ]
 [-0.19923399 -0.90560901 -0.036224  ]
 [-0.108673   -0.94183302 -0.018112  ]]"
259,"[[ 0.131       0.67299998 -0.008     ]
 [ 0.131       0.74299997 -0.017     ]
 [ 0.14        0.778      -0.035     ]
 ..., 
 [ 0.48100001  1.35599995  0.227     ]
 [ 0.498       1.40799999  0.25299999]
 [ 0.472       1.41700006  0.26199999]]"
260,"[[ 0.542      -0.052       0.07      ]
 [ 0.57700002 -0.175       0.017     ]
 [ 0.49000001 -0.26199999  0.096     ]
 ..., 
 [-0.315       2.00300002 -0.57700002]
 [-0.472       1.98599994 -0.39300001]
 [-0.59500003  1.59200001 -0.15700001]]"
261,"[[ 0.131       2.02999997 -0.28799999]
 [ 0.236       1.87199998 -0.15700001]
 [ 0.45500001  1.60099995  0.035     ]
 ..., 
 [-0.39300001  0.98000002 -0.21799999]
 [-0.72600001  1.47000003 -0.131     ]
 [-0.56        2.26600003 -0.83099997]]"
262,"[[ 0.48902899 -0.65203899 -0.19923399]
 [ 0.57959002 -0.79693598 -0.19923399]
 [ 0.65203899 -0.99616998 -0.235458  ]
 ..., 
 [ 0.144897   -2.3183589   0.61581397]
 [-0.16301    -1.97422802  1.17729199]
 [-0.30790699 -1.39463794 -0.036224  ]]"
263,"[[ 0.21799999  1.426      -0.49000001]
 [ 0.017       2.05599999 -0.35800001]
 [-0.16599999  2.1170001  -0.245     ]
 ..., 
 [ 0.708       1.05799997  1.12      ]
 [ 1.15499997  2.03800011  0.63      ]
 [ 0.65600002  2.30999994 -0.40200001]]"
264,"[[ 0.072449   -0.74259901 -0.090561  ]
 [-0.018112   -0.88749701  0.054337  ]
 [-0.144897   -0.92372102  0.181122  ]
 ..., 
 [ 0.090561   -0.30790699  0.108673  ]
 [-0.036224   -0.45280501 -0.072449  ]
 [-0.181122   -0.525253   -0.39846799]]"
265,"[[ 0.57959002 -2.3183589   0.072449  ]
 [ 0.16301    -0.36224401  0.181122  ]
 [ 0.144897   -0.090561   -0.48902899]
 ..., 
 [ 0.126785   -0.79693598 -0.543365  ]
 [ 0.36224401 -0.92372102 -0.56147802]
 [ 0.63392597 -0.94183302 -0.61581397]]"
266,"[[ 0.131       1.01499999 -0.078     ]
 [ 0.131       1.00600004 -0.087     ]
 [ 0.122       1.01499999 -0.087     ]
 ..., 
 [ 0.122       1.00600004 -0.105     ]
 [ 0.113       1.01499999 -0.113     ]
 [ 0.113       1.00600004 -0.113     ]]"
267,"[[ 0.688263   -0.090561    0.144897  ]
 [ 0.688263   -0.090561    0.144897  ]
 [ 0.50714099 -0.072449    0.018112  ]
 ..., 
 [ 0.28979501 -0.77882397  0.253571  ]
 [ 0.217346   -1.03239405  0.126785  ]
 [ 0.126785   -1.34030199  0.072449  ]]"
268,"[[ 0.126785    0.235458    0.27168301]
 [ 0.108673    0.19923399  0.144897  ]
 [ 0.126785    0.108673    0.054337  ]
 ..., 
 [-1.19540405 -2.3183589   0.56147802]
 [-1.34030199 -2.10101295  0.88749701]
 [-1.10484302 -2.01045203  0.94183302]]"
269,"[[-0.19923399 -0.97805798 -0.072449  ]
 [-0.181122   -0.95994598 -0.072449  ]
 [-0.217346   -0.97805798 -0.072449  ]
 ..., 
 [-0.181122   -0.95994598 -0.126785  ]
 [-0.16301    -0.97805798 -0.126785  ]
 [-0.16301    -1.01428199 -0.036224  ]]"
270,"[[ 0.48100001  2.45000005 -1.09300005]
 [ 0.463       2.31800008 -0.99699998]
 [ 0.271       2.00300002 -0.89200002]
 ..., 
 [ 0.30599999  0.061       0.122     ]
 [ 0.192       0.20100001  0.026     ]
 [ 0.087       0.28799999  0.017     ]]"
271,"[[ 0.16301    -1.06861901  0.19923399]
 [ 0.108673   -1.01428199  0.32601899]
 [ 0.054337   -1.06861901  0.253571  ]
 ..., 
 [-0.57959002 -1.26785302  0.144897  ]
 [-0.217346   -1.50331104 -0.235458  ]
 [ 0.072449   -1.376526   -0.19923399]]"
272,"[[-1.19799995 -0.34999999  0.52499998]
 [-1.46099997 -0.227       0.50700003]
 [-1.62699997 -0.16599999  0.43700001]
 ..., 
 [-0.95300001 -0.113       0.80500001]
 [-1.04999995 -0.192       1.01499999]
 [-1.03199995 -0.236       1.00600004]]"
273,"[[ 0.061       0.498       0.008     ]
 [ 0.052       0.57700002 -0.043     ]
 [-0.052       0.61199999 -0.078     ]
 ..., 
 [-0.052       0.65600002 -0.21799999]
 [-0.035       0.69099998 -0.36700001]
 [-0.008       0.72600001 -0.33199999]]"
274,"[[ 0.131       1.00600004 -0.07      ]
 [ 0.14        1.01499999 -0.07      ]
 [ 0.14        1.00600004 -0.07      ]
 ..., 
 [ 0.131       1.00600004 -0.07      ]
 [ 0.14        1.01499999 -0.07      ]
 [ 0.14        1.00600004 -0.07      ]]"
275,"[[ 0.087       1.023      -0.052     ]
 [ 0.087       1.01499999 -0.052     ]
 [ 0.087       1.023      -0.052     ]
 ..., 
 [ 0.07        1.01499999 -0.078     ]
 [ 0.087       1.01499999 -0.07      ]
 [ 0.087       1.01499999 -0.078     ]]"
276,"[[ 0.36700001  0.41999999 -0.131     ]
 [ 0.36700001  0.45500001 -0.148     ]
 [ 0.315       0.51599997 -0.148     ]
 ..., 
 [ 0.105       0.43700001  0.008     ]
 [ 0.131       0.36700001  0.052     ]
 [ 0.192       0.29699999  0.052     ]]"
277,"[[-0.30790699  0.32601899 -0.108673  ]
 [-0.34413099  0.39846799 -0.090561  ]
 [-0.41657999  0.56147802 -0.054337  ]
 ..., 
 [-0.090561    1.10484302  0.34413099]
 [-0.090561    1.15918005  0.253571  ]
 [-0.054337    1.14106798 -0.036224  ]]"
278,"[[ 0.76071203 -2.3183589   0.543365  ]
 [-0.072449   -1.82932997  1.55764794]
 [-0.36224401 -1.32218897  1.12295496]
 ..., 
 [-0.65203899 -2.01045203  0.16301   ]
 [-0.74259901 -2.15534997  0.47091699]
 [-0.79693598 -2.26402307  0.65203899]]"
